measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,1,Number,2000,17245.749697746436,19635.60800968625,14860.95851715266
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,2,Percent,2000,0.0035942455665207,0.0040868172638281,0.0030912989192676
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,2000,343.96172174868997,391.62678671352,296.39771932115997
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,1,Number,2001,17495.430172468834,19908.99250850377,15098.773828919548
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,2,Percent,2001,0.0036130910080131,0.004114790194243,0.0031142632669211
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,2001,345.78569012711,393.48816499074,298.41735110473996
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,1,Number,2002,17646.007972051288,20097.925075004718,15221.184492365992
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,2,Percent,2002,0.0036112423395593,0.004108277037023,0.0031112013668594
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,2002,345.57203924022,393.58935820877,298.08531045716
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,1,Number,2003,17903.859802561277,20434.771852004567,15413.839634165228
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,2,Percent,2003,0.0036304053215227,0.004145522330489,0.0031212608318949
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,2003,347.30914822598,396.40520448539,299.00633568791
5,Prevalence,37,Kyrgyz Republic,3,Both,22,All ages,543,Alzheimer's disease and other dementias,1,Number,2004,18183.771919107545,20777.717796322875,15612.35655517965
